Simulation started at: 2024-09-03 19:11:39
v1_Random vs. v1_Random(1)

 Result       | v1_Random Color
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 v1_Random    | Black        
 Draw         | White        
 v1_Random(1) | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random    | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random    | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random    | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 v1_Random(1) | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random(1) | White        
 Draw         | Black        
 Draw         | White        
 v1_Random(1) | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random    | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random    | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 v1_Random(1) | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 v1_Random    | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 v1_Random(1) | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 Draw         | White        
 v1_Random    | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random(1) | White        
 Draw         | Black        
 Draw         | White        
 Draw         | Black        
 v1_Random(1) | White        
 Draw         | Black        

v1_Random: 8
v1_Random(1): 8
Draws: 84
--------------------------------------------
